source,source_id,url,price,currency,property_type,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,age_years,price_per_construction_m2,price_per_land_m2,latitude,longitude,coordinate_quality,state,municipality,neighborhood,postal_code,street,inegi_cve_ageb,ageb_assignment_quality,population,occupied_housing,population_density,housing_density,car_ownership_ratio,internet_access_ratio,average_schooling,employment_ratio,establishments_500m,establishments_1km,retail_500m,retail_1km,restaurants_hotels_500m,restaurants_hotels_1km,health_500m,health_1km,education_500m,education_1km,financial_500m,financial_1km,professional_services_500m,professional_services_1km,training_readiness,market_segment,price_band,quality_flags
mercadolibre,MLM-5187471488,https://casa.mercadolibre.com.mx/MLM-5187471488-casa-atenea-en-una-sola-planta-en-club-de-golf-santa-fe-xochitepec-morelos-_JM,11990000.0,MXN,casa,1000.0,670.0,4,4.0,4,,17895.52,,,,unusable,Morelos,Xochitepec,Club de Golf Santa Fe,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,8M-12M,missing_coordinates
mercadolibre,MLM-2985881841,https://casa.mercadolibre.com.mx/MLM-2985881841-casa-en-venta-en-colonia-tres-de-mayo-_JM,5500000.0,MXN,casa,450.0,,4,3.0,3,,,,,,unusable,Morelos,Emiliano Zapata,Pueblo 3 de Mayo,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,5M-8M,"missing_construction_area,missing_coordinates"
mercadolibre,MLM-3058415499,https://casa.mercadolibre.com.mx/MLM-3058415499-casa-en-burgos-cuernavaca-con-seguridad-247-alberca-y-excelentes-espacios-_JM,7600000.0,MXN,casa,533.0,560.0,4,5.0,5,,13571.43,,,,medium,Morelos,Temixco,Burgos,,,0918,approximate_coordinate,471.0,152.0,5847.590513522652,1887.1205054255693,0.39473684210526316,0.6578947368421053,11.27,1.0,33,199,14,105,1,20,1,4,4,8,0,0,1,3,B,residential,5M-8M,missing_coordinates
mercadolibre,MLM-5497313736,https://casa.mercadolibre.com.mx/MLM-5497313736-casa-en-venta-en-ayala-morelos-amplia-propiedad-con-jardin-piscina-y-amenidades-_JM,5100000.0,MXN,casa,450.0,223.0,3,3.0,3,,22869.96,,,,unusable,Morelos,Ayala,Paraíso Tlahuica,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,5M-8M,missing_coordinates
mercadolibre,MLM-2834940755,https://casa.mercadolibre.com.mx/MLM-2834940755-casa-en-venta-en-jardines-de-ahuatepec-_JM,38000000.0,MXN,casa,8732.0,979.0,6,8.0,8,,38815.12,,,,unusable,Morelos,Cuernavaca,,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,>20M,"missing_coordinates,suspicious_surface_pair"
mercadolibre,MLM-5694957148,https://casa.mercadolibre.com.mx/MLM-5694957148-casa-en-venta-atlatlahucan-_JM,3800000.0,MXN,casa,209.0,165.0,3,4.0,4,,23030.3,,,,low,Morelos,Atlatlahucan,Atlatlahucan,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,3M-5M,missing_coordinates
mercadolibre,MLM-4791975610,https://casa.mercadolibre.com.mx/MLM-4791975610-casa-en-cuautla-sitio-del-sol-_JM,2550000.0,MXN,casa,119.0,120.0,3,2.0,2,,21250.0,,,,medium,Morelos,Cuautla,Sitio Del Sol,,,0014,approximate_coordinate,2050.0,523.0,1887.0063470578307,481.4167412249978,0.3862332695984704,0.37667304015296366,8.75,0.9742574257425742,160,265,83,128,40,48,1,2,1,4,3,3,2,2,B,residential,2M-3M,missing_coordinates
mercadolibre,MLM-2907614123,https://casa.mercadolibre.com.mx/MLM-2907614123-casa-en-venta-en-oaxtepec-morelos-_JM,6140000.0,MXN,casa,700.0,389.0,4,3.0,3,,15784.06,,,,unusable,Morelos,Yautepec,Fracc. Jacarandas,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,5M-8M,missing_coordinates
mercadolibre,MLM-2989131155,https://casa.mercadolibre.com.mx/MLM-2989131155-casa-en-fraccionamiento-y-club-de-golf-de-jiutepec-_JM,17000000.0,MXN,casa,1700.0,,4,4.0,4,,,,,,unusable,Morelos,Jiutepec,Club De Golf San Gaspar,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,12M-20M,"missing_construction_area,missing_coordinates"
mercadolibre,MLM-2676697903,https://casa.mercadolibre.com.mx/MLM-2676697903-casa-en-fraccionamiento-con-casa-club-en-xochitepec-morelos-_JM,2650000.0,MXN,casa,200.0,159.0,4,3.0,3,,16666.67,,,,medium,Morelos,Xochitepec,Atlacholoaya,,,0473,approximate_coordinate,4533.0,1113.0,3774.8340204221518,926.8454146767824,0.31626235399820307,0.2407906558849955,7.74,0.9912971404890178,202,236,100,115,22,24,4,6,4,7,0,0,1,1,B,residential,2M-3M,missing_coordinates
