source_id,property_type,price,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,latitude,longitude,municipality,neighborhood,inegi_cve_ageb
MLM-5843419966,casa,5450000.0,240.0,310.0,10,8.0,8.0,19.4029008,-99.1216572,Iztacalco,Santa Anita,0255
MLM-3054383689,casa,7000000.0,172.0,210.0,3,2.0,2.0,19.3658498,-99.12878,Iztapalapa,Ampliación Sinatel,0657
MLM-5731835412,casa,3600000.0,120.0,160.0,4,2.0,2.0,19.3791527,-99.1095076,Iztapalapa,Apatlaco,0356
MLM-2798093403,casa,2400000.0,119.0,150.0,3,2.0,2.0,19.331195,-99.0270238,Iztapalapa,Buenavista,5573
MLM-2798014721,casa,7000000.0,224.0,475.0,4,4.0,4.0,19.3592708,-99.1385674,Iztapalapa,San Miguel,0905
MLM-3357614215,departamento,1450000.0,75.0,75.0,2,2.0,1.0,19.3218737,-99.0578783,Iztapalapa,Consejo Agrarista Mexicano,4170
MLM-6035698000,casa,5300000.0,71.0,152.0,2,2.0,2.0,19.336909,-99.1089421,Iztapalapa,Culhuacán,1566
MLM-5030632450,casa,3070000.0,132.0,249.0,4,3.0,4.0,19.3641347,-99.0136069,Iztapalapa,El Edén,0784
MLM-5856465052,departamento,680000.0,45.0,45.0,2,2.0,1.0,19.3762874,-99.0303609,Iztapalapa,El Paraíso,5253
MLM-6012248194,casa,7500000.0,135.0,276.0,3,5.0,5.0,19.3708726,-99.1245685,Iztapalapa,El Retoño,0515
MLM-5419298964,departamento,2190000.0,64.0,64.0,3,3.0,1.0,19.3777843,-99.1205415,Iztapalapa,El Triunfo,0322
MLM-2897128049,departamento,1533870.0,56.0,56.0,3,2.0,1.0,19.3601293,-98.999612,Iztapalapa,Ermita Zaragoza,1138
MLM-5969422108,casa,4500000.0,128.0,183.0,3,3.0,1.0,19.3649049,-99.1095471,Iztapalapa,Escuadrón 201,5446
MLM-5569725238,casa,4950000.0,154.0,265.0,3,3.0,1.0,19.3559895,-99.0856882,Iztapalapa,Cerro De La Estrella,3774
MLM-3306545023,casa,4700000.0,198.0,424.0,5,3.0,3.0,19.3072486,-99.072594,Iztapalapa,Francisco Villa,209A
MLM-5576685626,casa,5300000.0,170.0,175.0,2,2.0,1.0,19.3712812,-99.1293644,Iztapalapa,San Andrés Tetepilco,0500
MLM-5058190100,casa,5750000.0,120.0,158.0,3,3.0,1.0,19.3609127,-99.1182331,Iztapalapa,Héroes De Churubusco,0939
MLM-5823147412,casa,6785000.0,198.0,274.0,4,3.0,3.0,19.3645813,-99.131684,Iztapalapa,Justo Sierra,0657
MLM-6034606630,casa,4350000.0,192.0,330.0,9,3.0,3.0,19.3632066,-99.0709442,Iztapalapa,Leyes de Reforma 1a Sección,3670
