codigo_act,latitud,longitud
212321,19.44633458,-99.21577195
221111,19.43833242,-99.2099793
221311,19.40445519,-99.24164109
221123,19.26780438,-99.17325388
221312,19.37316101,-99.02557408
221312,19.49366748,-99.10051912
221312,19.52549843,-99.15422492
221312,19.40235663,-99.15905419
221311,19.42876245,-99.21677954
221113,19.42931038,-99.20500328
221312,19.24992839,-99.10708584
221312,19.2807686,-99.17041433
221312,19.42224514,-99.14473103
221312,19.27580516,-99.04773434
221122,19.36676629,-99.0627141
221122,19.49618949,-99.11852636
221123,19.42981262,-99.20570083
221312,19.35087909,-99.2195618
221312,19.36545215,-99.14480254
221312,19.32032938,-99.08468995
221312,19.43792412,-99.14633507
221312,19.36961094,-99.10739739
221312,19.49367477,-99.12570731
221312,19.32029709,-99.08450502
221312,19.39278021,-99.10015266
221312,19.31946914,-99.13277534
221312,19.35726903,-99.1090745
221312,19.35185512,-99.18619883
221312,19.4734539,-99.18938807
221312,19.48794556,-99.15170809
221312,19.37334928,-99.1739924
221312,19.3614039,-99.28932037
221312,19.45093785,-99.14109575
221312,19.43152241,-99.13658378
221312,19.41633933,-99.16382621
221312,19.467578,-99.08116323
221312,19.35726932,-99.10907441
221312,19.33453647,-99.21648145
221312,19.43314616,-99.17291301
221312,19.19202946,-99.02506257
221312,19.3011773,-99.05098738
221312,19.29081664,-99.13095804
221312,19.40852267,-99.12146776
221312,19.36556655,-99.00547216
221312,19.25105929,-99.10979102
221312,19.42594434,-99.17369934
221114,19.42843977,-99.20595136
221113,19.42927827,-99.20495868
221312,19.48983304,-99.12075142
221312,19.44415224,-99.18305626
221312,19.28227809,-99.20109079
221312,19.25287092,-99.06212361
221312,19.24798168,-99.17415509
221312,19.42046936,-99.13302956
221312,19.33989715,-98.98872483
221312,19.24728884,-99.08611745
221312,19.32721018,-99.28844447
221113,19.42930215,-99.20499185
221123,19.3991774,-99.06157194
221123,19.43812793,-99.17198839
221123,19.47671888,-99.17529105
221123,19.41649161,-99.10542345
221123,19.47814141,-99.11117663
221123,19.40300992,-99.24294919
221123,19.43174728,-99.13942136
221123,19.41912939,-99.17263796
221123,19.39447523,-99.16436968
221123,19.33857492,-99.21024742
221123,19.36556723,-99.00547313
221123,19.25638212,-99.10783818
221123,19.4354948,-99.19160005
221123,19.47853434,-99.1319129
221123,19.39937174,-99.12409163
221123,19.33550475,-99.07514551
221123,19.38258199,-99.09344186
221123,19.47025544,-99.14459642
221123,19.42586562,-99.1116902
221123,19.35339497,-99.21621048
221123,19.37737988,-99.18761572
221123,19.4285224,-99.1078052
221123,19.38417858,-99.14859859
221123,19.34540117,-99.17156985
221123,19.41734794,-99.06820435
221123,19.50167469,-99.15440863
221123,19.36632694,-99.20571804
221123,19.49120679,-99.13359362
221123,19.29406566,-99.16503718
221123,19.3625031,-99.27478063
221123,19.33792745,-99.14763763
221123,19.46845143,-99.12340444
221123,19.51243859,-99.13425886
221123,19.45252901,-99.1464884
221123,19.50744044,-99.14423105
221312,19.41174452,-99.1818077
221312,19.19241823,-98.99705764
221312,19.28191485,-99.11637133
221312,19.36340182,-99.08243012
221122,19.50394687,-99.15327867
221312,19.43700519,-99.22813854
221312,19.25804855,-99.03321851
221312,19.26839814,-99.15468302
221312,19.31375016,-99.100006
221312,19.26337547,-99.09909044
221312,19.25663154,-99.02886335
221312,19.21897258,-98.97071443
221312,19.25983575,-99.03032516
221312,19.40310543,-99.24828516
221312,19.27657596,-98.99867509
221312,19.32177006,-99.08382079
221312,19.25983615,-99.03031732
221114,19.3875127,-99.25200248
221114,19.38805873,-99.2512369
221114,19.38805873,-99.2512369
221111,19.42837578,-99.20600409
221113,19.42606357,-99.16760027
221111,19.42837578,-99.20600409
221111,19.42398501,-99.17505537
221111,19.42837578,-99.20600409
221123,19.29771207,-99.13741668
221123,19.24918817,-99.05776898
221123,19.37473373,-99.12947799
221123,19.35223178,-99.10431541
221123,19.26139434,-99.11299372
221123,19.3476691,-99.06705359
221123,19.29975511,-99.10734049
221123,19.29430882,-99.18139141
221123,19.37654525,-99.06459251
221123,19.37888613,-99.0874331
221123,19.29944683,-99.12484917
