ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,TVIVHAB,VPH_AUTOM,VPH_INTER,GRAPROES,PEA,POCUPADA
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1162,000,14061,3787,1426,2780,10.84,7884,7648
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1181,000,4132,1270,784,1086,12.69,2204,2138
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1213,000,5772,1832,1209,1582,13.19,2880,2801
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1228,000,2280,538,215,406,10.77,1221,1179
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1232,000,3022,878,687,790,13.17,1573,1545
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1247,000,5019,1527,763,1206,12.19,2646,2556
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1251,000,2321,699,350,560,12.13,1231,1177
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1266,000,2811,799,374,654,11.61,1655,1608
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1270,000,4167,1333,649,1083,12.32,2170,2094
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1285,000,3625,1106,579,940,12.05,1886,1804
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,129A,000,3454,1045,598,919,12.75,1824,1761
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1302,000,1973,620,315,502,12.27,1028,996
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1317,000,2754,786,420,658,11.92,1397,1344
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1321,000,3755,1186,658,971,12.13,1908,1838
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1336,000,2908,919,399,700,11.64,1539,1478
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1340,000,2546,865,534,746,13.75,1315,1282
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1355,000,2461,844,541,741,13.68,1237,1187
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,136A,000,2243,784,526,701,13.54,1156,1118
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1374,000,2494,843,524,759,13.32,1218,1175
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1389,000,3600,1065,283,669,9.92,1860,1804
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1393,000,2828,792,283,567,10.4,1581,1536
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1406,000,3216,867,335,622,10.47,1734,1698
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1410,000,4242,1462,1056,1329,13.68,2326,2236
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1425,000,6786,1832,957,1395,11.51,3705,3582
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,143A,000,2877,937,839,869,14.42,1486,1421
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1444,000,2651,967,813,912,14.66,1448,1411
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1459,000,2436,910,637,803,13.69,1378,1345
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1463,000,2844,1033,620,894,12.89,1574,1534
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1478,000,3845,1199,620,984,12.1,1967,1897
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1482,000,4758,1488,745,1244,12.01,2474,2388
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1497,000,5249,1597,838,1323,12.24,2839,2745
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,150A,000,4541,1447,943,1275,13.17,2473,2405
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1514,000,5908,1731,807,1395,11.67,2959,2881
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1529,000,5698,2258,1709,2095,14.98,3318,3245
