ENTIDAD,MUN,LOC,AGEB,MZA,POBTOT,TVIVHAB,VPH_AUTOM,VPH_INTER,GRAPROES,PEA,POCUPADA
17,008,0001,0358,000,1550,474,165,295,10.49,881,865
17,008,0001,0362,000,2165,535,160,254,8.51,1123,1088
17,008,0001,0377,000,3279,853,222,411,8.28,1685,1593
17,008,0001,0396,000,45,12,4,9,8.52,18,16
17,008,0001,0409,000,166,42,15,16,7.98,74,74
17,008,0001,0555,000,120,42,33,35,12.87,50,46
17,008,0001,0663,000,158,59,52,50,13.5,86,84
17,008,0001,0678,000,1660,633,363,472,13.24,976,953
17,008,0001,0682,000,113,39,31,30,14.61,66,65
17,008,0001,0697,000,113,34,28,28,13.17,58,56
17,008,0001,070A,000,163,62,44,46,13.53,90,88
17,008,0003,0000,000,3963,1183,368,752,8.81,1977,1951
17,008,0003,0610,000,979,289,90,166,8.56,487,484
17,008,0003,0625,000,1096,301,77,167,8.07,536,526
17,008,0003,063A,000,705,219,88,167,9.58,368,366
17,008,0003,0644,000,887,281,90,179,9.28,446,440
17,008,0003,0659,000,47,19,17,18,14.97,25,25
17,008,0003,0714,000,249,74,6,55,7.78,115,110
17,008,0004,0000,000,5501,1671,783,980,10.32,2773,2690
17,008,0004,017A,000,4912,1452,630,812,9.98,2496,2418
17,008,0004,0273,000,3,2,*,*,*,*,*
17,008,0004,0292,000,5,1,*,*,*,*,*
17,008,0004,0381,000,25,9,4,8,12.11,13,13
17,008,0004,0413,000,357,122,84,91,13.1,166,163
17,008,0004,0428,000,64,21,20,19,13.86,27,27
17,008,0004,0470,000,78,39,26,23,12.97,42,41
17,008,0004,056A,000,48,22,17,22,13.55,21,20
17,008,0004,0574,000,9,3,*,*,13.4,4,4
17,008,0005,0000,000,20950,6377,3857,4773,11.37,11463,11114
17,008,0005,0057,000,2767,997,791,879,13.92,1491,1457
17,008,0005,0061,000,2394,714,381,493,11,1336,1298
17,008,0005,0095,000,2157,686,547,599,13.01,1128,1094
17,008,0005,0216,000,1537,456,300,350,11.65,885,862
17,008,0005,0220,000,3690,1004,364,586,8.86,2084,2014
17,008,0005,0269,000,3079,985,827,878,13.39,1632,1583
17,008,0005,0324,000,2049,601,300,398,10.83,1045,1019
17,008,0005,0339,000,3277,934,347,590,9.05,1862,1787
17,008,0050,0000,000,6717,2222,1090,1512,11.56,3735,3648
17,008,0050,0432,000,852,286,105,170,11.01,474,464
17,008,0050,0447,000,2864,908,435,641,11.67,1601,1570
17,008,0050,0451,000,680,219,74,182,10.66,413,404
17,008,0050,0466,000,380,127,58,98,10.8,229,222
17,008,0050,0485,000,262,94,58,71,12.45,128,128
17,008,0050,049A,000,191,62,41,39,12.75,89,84
17,008,0050,0502,000,790,282,160,160,11.93,423,413
17,008,0050,0517,000,411,139,86,85,11.65,234,226
17,008,0050,0521,000,235,86,56,50,11.98,119,113
17,008,0050,0589,000,20,8,8,7,15.29,11,10
17,008,0050,0593,000,28,9,7,7,15.05,13,13
17,008,0050,0606,000,4,2,*,*,*,*,*
17,009,0000,0000,000,24515,6704,3265,3036,9.79,13254,13031
17,009,0001,0000,000,5347,1369,641,597,9.53,2707,2680
17,009,0001,0035,000,1955,497,234,211,9.54,906,895
17,009,0001,0073,000,3392,872,407,386,9.52,1801,1785
17,009,0017,0000,000,7523,1905,819,820,9.7,4151,4097
17,009,0017,0088,000,750,208,100,113,10.23,430,417
17,009,0017,0092,000,325,82,24,30,8.83,188,188
17,009,0017,0105,000,3700,916,350,343,9.41,1946,1918
17,009,0017,011A,000,2649,675,335,331,10.1,1538,1525
17,009,0017,0124,000,99,24,10,3,8.27,49,49
17,010,0000,0000,000,18402,5135,1876,1935,8.9,9120,8989
17,010,0001,0000,000,5050,1439,589,624,9.64,2411,2376
17,010,0001,0074,000,1002,287,119,114,10.43,492,487
17,010,0001,0093,000,186,52,25,22,8.74,92,91
17,010,0001,0106,000,81,23,12,7,9.45,35,35
17,010,0001,0110,000,402,112,42,50,8.61,174,167
17,010,0001,013A,000,1763,494,163,190,8.7,821,813
17,010,0001,0144,000,1616,471,228,241,10.48,797,783
17,010,0002,0000,000,5854,1622,525,557,8.72,3090,3059
17,010,0002,0021,000,4252,1193,374,432,8.73,2281,2259
17,010,0002,0089,000,272,70,40,30,9.93,132,130
17,010,0002,0125,000,747,198,59,54,8.15,391,386
17,010,0002,0159,000,233,60,26,16,9.28,125,123
17,010,0002,0163,000,336,97,24,23,8.52,153,153
17,010,0002,0178,000,14,4,*,*,10.42,8,8
17,010,0003,0000,000,2812,741,246,342,8.68,1319,1277
17,010,0003,0055,000,2812,741,246,342,8.68,1319,1277
17,011,0000,0000,000,215357,61620,28955,41139,10.52,113477,110518
17,011,0001,0000,000,174629,50336,24371,34867,10.76,92495,90099
17,011,0001,0103,000,0,0,0,0,0.00,0,0
17,011,0001,0122,000,1858,564,422,460,12.28,1050,1024
17,011,0001,0137,000,4844,1335,783,936,10.95,2664,2606
17,011,0001,0156,000,1281,342,152,181,9.51,658,646
17,011,0001,0160,000,4358,1339,878,989,11.78,2394,2311
17,011,0001,0175,000,558,162,80,113,10.94,323,310
17,011,0001,0207,000,4352,1303,811,998,11.85,2215,2162
17,011,0001,0211,000,2443,721,475,575,11.69,1303,1264
17,011,0001,0230,000,1506,513,404,466,13.56,827,801
17,011,0001,0245,000,3974,1040,437,614,9.44,2056,1988
17,011,0001,0315,000,2303,680,299,444,10.32,1279,1256
17,011,0001,032A,000,1995,599,277,430,11.43,1009,988
17,011,0001,0334,000,2529,728,220,487,10.54,1373,1316
17,011,0001,0349,000,2595,788,225,503,10.77,1455,1398
17,011,0001,0368,000,2551,741,325,461,10.02,1287,1243
17,011,0001,0372,000,2254,644,309,411,10.42,1158,1150
17,011,0001,0387,000,5419,1541,726,1154,10.29,2928,2842
17,011,0001,0391,000,9397,2687,1053,1685,9.93,5001,4842
17,011,0001,0404,000,1333,437,139,305,11.46,735,710
